n,heapsort.ticks
150000,30416260
180000,37113856
210000,43825653
240000,50577500
270000,57384920
300000,64409754
330000,71444403
360000,78558364
390000,85564108
420000,92692897
450000,99808773
480000,106931493
510000,114037323
540000,121246217
570000,128622002
600000,136017172
630000,143421642
660000,150803621
690000,158234447
720000,165707025
750000,173113726
780000,180515331
810000,188018235
840000,195523686
870000,202947376
900000,210436009
930000,217890250
960000,225310306
990000,232827897
1020000,240266133
1050000,247684886
1080000,255514616
1110000,263204477
1140000,270937628
1170000,278677218
